City,Country,Latitude,Longitude
fuerte olimpo,py,-21,-58
lamu,ke,-5,45
san pedro pochutla,mx,10,-97
longyearbyen,sj,90,3
port-aux-francais,tf,-84,76
chibougamau,ca,55,-73
port douglas,au,-15,145
ilulissat,gl,86,-48
juan griego,ve,12,-64
adamstown,pn,-42,-145
vorgashor,ru,86,59
qaqortoq,gl,63,-41
malyye derbety,ru,48,45
whitehorse,ca,66,-134
ushuaia,ar,-63,-64
blackmans bay,au,-63,153
sinabang,id,-3,87
wajir,ke,1,41
saint john,ca,45,-67
flying fish cove,cx,-18,108
sevastopol,ua,44,32
wailua homesteads,us,32,-164
thunder bay,ca,49,-87
stanley,fk,-61,-60
avarua,ck,-43,-151
boguchany,ru,60,98
west island,cc,-21,92
saipan,mp,16,149
ola,ru,60,156
grytviken,gs,-84,-31
invercargill,nz,-62,164
halmstad,se,57,13
vingt cinq,mu,-8,55
al bawiti,eg,28,27
leca da palmeira,pt,41,-9
waitangi,nz,-85,-162
keflavik,is,64,-26
biaora,in,24,77
mhamid,ma,29,-6
daru,pg,-14,140
tromso,no,69,19
port augusta,au,-31,135
zambezi,zm,-14,23
port mathurin,mu,-27,80
vila velha,br,-24,-29
eastham,us,42,-69
ust-nera,ru,77,149
qutur,eg,31,31
ndende,ga,-2,12
sandnessjoen,no,70,9
markovo,ru,60,106
albany,au,-64,116
springs,us,41,-72
lyskovo,ru,56,45
jamestown,sh,-20,2
kruisfontein,za,-63,26
rasskazovo,ru,53,42
bethel,us,41,-177
yellowknife,ca,89,-125
greymouth,nz,-40,167
hermanus,za,-72,13
warrnambool,au,-38,143
isafjordur,is,72,-23
formosa do rio preto,br,-11,-45
port elizabeth,za,-75,29
alice springs,au,-28,129
sitka,us,57,-135
huarmey,pe,-15,-90
georgetown,sh,-6,-12
iqaluit,ca,88,-86
i-n-salah,dz,28,2
edinburgh of the seven seas,sh,-40,-9
kramfors,se,63,18
hasaki,jp,32,146
hawaiian paradise park,us,15,-138
iskateley,ru,83,55
hami,cn,39,93
altay,cn,48,89
padang,id,-3,98
st. john's,ca,46,-49
nurota,uz,41,65
belyy yar,ru,63,84
granada,ni,12,-86
talnakh,ru,89,100
argostolion,gr,38,19
somerset,us,40,-79
shingu,jp,27,137
bilibino,ru,82,166
happy valley-goose bay,ca,53,-57
hihifo,to,-16,-175
rongelap,mh,22,166
al mijlad,sd,11,27
kafin hausa,ng,12,10
coahuayana de hidalgo,mx,12,-107
thompson,ca,68,-96
puerto natales,cl,-65,-96
vega de alatorre,mx,22,-94
funafuti,tv,-9,180
codrington,ag,19,-61
lihue,us,21,-166
vilyuysk,ru,72,120
sandpoint,us,48,-116
olonkinbyen,sj,90,-8
kolarovo,sk,48,18
antsohihy,mg,-15,48
carnarvon,au,-29,103
fort st. john,ca,60,-121
kosh-agach,ru,50,88
fisterra,es,44,-14
anadyr,ru,74,175
kizhinga,ru,52,110
korla,cn,37,89
