City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Windspeed
fuerte olimpo,py,-21,-58,86.05,36,18,5.08
lamu,ke,-5,45,77.58,86,31,19.62
san pedro pochutla,mx,10,-97,83.16,68,53,3.06
longyearbyen,sj,90,3,32.94,92,25,14.81
port-aux-francais,tf,-84,76,-61.55,100,100,11.41
chibougamau,ca,55,-73,51.19,91,100,22.93
port douglas,au,-15,145,69.96,60,53,9.66
ilulissat,gl,86,-48,34.02,89,100,26.24
juan griego,ve,12,-64,81.36,80,100,10.09
adamstown,pn,-42,-145,51.66,83,100,27.54
vorgashor,ru,86,59,33.66,95,100,4.7
qaqortoq,gl,63,-41,46.63,85,41,7.81
malyye derbety,ru,48,45,82.22,23,4,7.23
whitehorse,ca,66,-134,62.1,37,100,14.79
ushuaia,ar,-63,-64,30.96,95,100,23.44
blackmans bay,au,-63,153,25.38,96,100,10.02
sinabang,id,-3,87,82.08,77,26,10.87
wajir,ke,1,41,78.66,71,29,18.59
saint john,ca,45,-67,75.88,71,42,2.1
flying fish cove,cx,-18,108,74.16,74,10,21.43
sevastopol,ua,44,32,78.3,78,0,5.86
wailua homesteads,us,32,-164,76.5,71,57,6.73
thunder bay,ca,49,-87,69.13,39,75,10.38
stanley,fk,-61,-60,31.32,94,100,29.59
avarua,ck,-43,-151,49.68,73,51,7.05
boguchany,ru,60,98,54.99,99,99,2.26
west island,cc,-21,92,68.04,82,37,23.24
saipan,mp,16,149,84.24,76,91,10.94
ola,ru,60,156,50.94,95,100,7.81
grytviken,gs,-84,-31,-45.11,93,83,20.62
invercargill,nz,-62,164,32.22,82,100,30.94
halmstad,se,57,13,58.87,97,0,4.09
vingt cinq,mu,-8,55,77.94,85,4,19.1
al bawiti,eg,28,27,87.91,26,0,6.87
leca da palmeira,pt,41,-9,65.03,84,70,17.16
waitangi,nz,-85,-162,-40.67,60,100,3.47
keflavik,is,64,-26,52.92,84,100,18.45
biaora,in,24,77,76.51,95,88,3.98
mhamid,ma,29,-6,91.78,22,29,16.44
daru,pg,-14,140,73.44,67,45,19.66
tromso,no,69,19,53.56,87,0,0.0
port augusta,au,-31,135,57.56,58,95,9.01
zambezi,zm,-14,23,66.79,26,17,4.79
port mathurin,mu,-27,80,67.86,73,54,14.63
vila velha,br,-24,-29,71.46,80,77,14.54
eastham,us,42,-69,69.48,79,1,17.43
ust-nera,ru,77,149,31.68,97,100,13.76
qutur,eg,31,31,71.29,88,0,2.86
ndende,ga,-2,12,69.13,94,100,1.88
sandnessjoen,no,70,9,52.38,91,100,21.88
markovo,ru,60,106,52.68,97,85,1.97
albany,au,-64,116,-1.8,94,100,21.65
springs,us,41,-72,77.49,71,35,3.44
lyskovo,ru,56,45,56.43,97,85,5.41
jamestown,sh,-20,2,64.08,76,0,18.79
